Security Code,Security Name,Company name,Result Date
500092,CRISIL,CRISIL Ltd,30 Apr 2025
500123,ELANTAS,Elantas Beck India Ltd-$,30 Apr 2025
543243,EQUITASBNK,Equitas Small Finance Bank Ltd,30 Apr 2025
500086,EXIDEIND,Exide Industries Ltd,30 Apr 2025
500469,FEDERALBNK,Federal Bank Ltd,30 Apr 2025
534816,INDUSTOWER,Indus Towers Ltd,30 Apr 2025
500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,30 Apr 2025
542123,PHOSPHATE,The Phosphate Company Ltd,30 Apr 2025
517447,RSSOFTWARE,R.S. Software (India) Ltd,30 Apr 2025
543300,SONACOMS,Sona BLW Precision Forgings Ltd,30 Apr 2025
542904,UJJIVANSFB,Ujjivan Small Finance Bank Ltd,30 Apr 2025
543334,NUVOCO,Nuvoco Vistas Corporation Ltd,01 May 2025
543398,LATENTVIEW,Latent View Analytics Ltd,02 May 2025
531642,MARICO,Marico Ltd,02 May 2025
533146,DLINKINDIA,D-Link (India) Ltd,03 May 2025
500247,KOTAKBANK,Kotak Mahindra Bank Ltd,03 May 2025
543599,KSOLVES,Ksolves India Ltd,03 May 2025
543232,CAMS,Computer Age Management Services Ltd,05 May 2025
534758,CIGNITITEC,Cigniti Technologies Ltd,05 May 2025
532541,COFORGE,Coforge Ltd,05 May 2025
544176,AADHARHFC,Aadhar Housing Finance Ltd,06 May 2025
543335,APTUS,Aptus Value Housing Finance India Ltd,06 May 2025
500165,KANSAINER,Kansai Nerolac Paints Ltd,06 May 2025
542652,POLYCAB,Polycab India Ltd,06 May 2025
500414,TIMEX,Timex Group India Ltd-$,06 May 2025
500067,BLUESTARCO,Blue Star Ltd,07 May 2025
500096,DABUR,Dabur India Ltd,07 May 2025
590025,GINNIFILA,Ginni Filaments Ltd,07 May 2025
532478,UBL,United Breweries Ltd-$,07 May 2025
500820,ASIANPAINT,Asian Paints Ltd,08 May 2025
532523,BIOCON,Biocon Ltd,08 May 2025
500495,ESCORTS,Escorts Kubota Ltd,08 May 2025
500171,GHCL,GHCL Ltd,08 May 2025
543278,KALYANKJIL,Kalyan Jewellers India Ltd,08 May 2025
500331,PIDILITIND,Pidilite Industries Ltd,08 May 2025
500339,RAIN,Rain Industries Ltd,08 May 2025
500002,ABB,ABB India Ltd,09 May 2025
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,09 May 2025
532180,DHANBANK,Dhanlaxmi Bank Ltd,09 May 2025
500124,DRREDDY,Dr Reddys Laboratories Ltd,09 May 2025
532504,NAVINFLUOR,Navin Fluorine International Ltd-$,09 May 2025
500672,NOVARTIND,Novartis India Ltd,09 May 2025
500087,CIPLA,Cipla Ltd,13 May 2025
517174,HONAUT,Honeywell Automation India Ltd,13 May 2025
500271,MFSL,Max Financial Services Ltd,13 May 2025
500042,BASF,BASF India Ltd,14 May 2025
509480,BERGEPAINT,Berger Paints India Ltd,14 May 2025
500150,FOSECOIND,Foseco India Ltd,14 May 2025
531265,PROGREXV,Progrex Ventures Ltd,14 May 2025
500387,SHREECEM,Shree Cement Ltd,14 May 2025
532349,TCI,Transport Corporation of India Ltd,14 May 2025
540153,ENDURANCE,Endurance Technologies Ltd,15 May 2025
503960,BBL,Bharat Bijlee Ltd-$,16 May 2025
501150,CENTRUM,Centrum Capital Ltd,16 May 2025
531162,EMAMILTD,Emami Ltd-$,16 May 2025
511676,GICHSGFIN,GIC Housing Finance Ltd,16 May 2025
505355,NESCO,NESCO Ltd,16 May 2025
500322,PANCM,Panyam Cements & Mineral Industries Ltd,16 May 2025
532515,TVTODAY,TV Today Network Ltd,16 May 2025
500440,HINDALCO,Hindalco Industries Ltd,20 May 2025
500307,NIRLON,Nirlon Ltd,21 May 2025
521176,GANGOTRI,Gangotri Textiles Ltd,23 May 2025
500228,JSWSTEEL,JSW Steel Ltd,23 May 2025
517344,MINDTECK,Mindteck (India) Ltd,23 May 2025
532644,JKCEMENT,JK Cement Ltd,24 May 2025
516030,PAKKA,Pakka Ltd-$,24 May 2025
507815,GILLETTE,Gillette India Ltd,26 May 2025
500530,BOSCHLTD,Bosch Ltd,27 May 2025
500133,ESABINDIA,Esab India Ltd,27 May 2025
543427,MEDPLUS,Medplus Health Services Ltd,27 May 2025
500459,PGHH,Procter & Gamble Hygiene and Health Care Ltd,27 May 2025
532661,RML,Rane (Madras) Ltd,27 May 2025
517506,TTKPRESTIG,TTK Prestige Ltd,27 May 2025
500480,CUMMINSIND,Cummins India Ltd,28 May 2025
532851,INSECTICID,Insecticides (India) Ltd,28 May 2025
543064,SUVENPHAR,Suven Pharmaceuticals Ltd,28 May 2025
500008,ARE&M,Amara Raja Energy & Mobility Ltd,29 May 2025
523638,IPRINGLTD,IP Rings Ltd-$,29 May 2025
500126,PGHL,Procter & Gamble Health Ltd,29 May 2025
526901,SONALAD,Sonal Adhesives Ltd,29 May 2025
521226,UNIROYAL,Uniroyal Industries Ltd,29 May 2025
539149,ICSL,Integrated Capital Services Ltd,30 May 2025
505800,RANEHOLDIN,Rane Holdings Ltd,30 May 2025
530125,SAMRATPH,Samrat Pharmachem Ltd-$,30 May 2025
